score	comment	comment_english
5	Recebi bem antes do prazo estipulado.	I received it well before the stipulated time.
5	Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa	Congratulations lannister stores I loved shopping on the Internet safe and practical Congratulations to all happy Easter
4	aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho	efficient device. on the website the brand of the device is printed as 3disinfector and when it arrives it has another name...update with the correct brand since it is the same device
4	Mas um pouco ,travando...pelo valor ta Boa.  	But a little, locking... for the price it's good.
5	Vendedor confiável, produto ok e entrega antes do prazo.	Reliable seller, product ok and delivery on time.
2	GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU	I WOULD LIKE TO KNOW WHAT HAPPENED, I ALWAYS RECEIVED AND THIS PURCHASE NOW DISAPPOINTED ME
1	Péssimo	Terrible
5	Loja nota 10	Store note 10
5	obrigado pela atençao amim dispensada	thanks for the attention given me
5	A compra foi realizada facilmente.  A entrega foi efetuada muito antes do prazo dado.  O produto já começou a ser usado e até o presente,  sem problemas.	The purchase was carried out easily. Delivery was made long before the given time. The product has already started to be used and so far, without problems.
5	relógio muito bonito e barato.	
1	Não gostei ! Comprei gato por lebre	
1	Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.	
4	Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.	
5	Recomendo ,	
5	muito boa 	
5	Tô completamente apaixonada, loja super responsável e confiável!	
1	Nada de chegar o meu pedido.	
5	Muito bom. muito cheiroso.	
5	otimo vendedor chegou ate antes do prazo , adorei o produto	
5	Processo de compra tranquilo e eficiente.	
5	Tomara q dure pois é de pelinho.	
1	recebi somente 1 controle Midea Split ESTILO.  Faltou Controle Remoto para Ar Condicionado Consul	
5	boa	
5	MT lindo	
5	Ocorreu tudo como contratado sendo a entrega realizada antes do prazo    Estou satisfeita  	
5	Amei achei lindo ,muito delicado adorei	
4	Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.	
5	Recomendo o vendedor... 	
1	O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. 	
5	Produto entregue como solicitado, e com muita brevidade. Parabéns!  	
3	Eu comprei duas unidades e só recebi uma e agora o que faço?	
3	Produto bom, porém o que veio para mim não condiz com a foto do anúncio.	
1	Produto muito inferior, mal acabado.	
5	O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!	
5	Maravilha 	
3	Entrega no prazo	
5	Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório 	
